slug,name,mrr,last30,subs,demand_h,comp_h,verdict,website,x_handle
vidai-llc,Vid.AI,638.30,453.91,847,4,4,KILL_OR_UNBUNDLE,https://vid.ai,@priymrj
orion-ai-solutions-inc,Orion AI Solutions Inc.,578.62,665.33,380,4,2,GO_CANDIDATE,https://orionaisolutions.ai,@
magicslides-app,MagicSlides.app,113.55,102.61,827,4,2,GO_CANDIDATE,https://www.magicslides.app,@indianappguy
appalchemy,AppAlchemy,64.21,58.89,221,3,2,GO_CANDIDATE,https://appalchemy.ai,@diegoroshardt
fiveml-ltd,FiveML LTD,50.84,52.91,20,3,4,KILL_OR_UNBUNDLE,https://fivemedialab.com/en,@blacktiecharts
zerano-club,Zerano Club,42.01,45.69,30,3,2,GO_CANDIDATE,https://zerano.club,@thezaxteray
peoplefinder,Lurq By PeopleFinder,39.60,63.32,166,4,2,GO_CANDIDATE,https://peoplefinder.app,@
uplinked-b-v,UpLinked B.V.,36.63,34.47,57,3,4,KILL_OR_UNBUNDLE,https://www.uplinked.app,@
publbee,Publbee,34.58,31.94,102,4,2,GO_CANDIDATE,https://www.publbee.com,@nezirbasar1
anonymous-startup-42,Anonymous startup,18.22,12.44,108,3,2,GO_CANDIDATE,,@
helix,Anonymous startup,16.72,91.05,297,4,2,GO_CANDIDATE,,@jonaheapen
vectosolve,VECTOSOLVE,16.49,32.90,233,4,2,GO_CANDIDATE,https://vectosolve.com,@go_to_rob
autoreels-ai,AutoReels.AI,13.58,9.82,54,2,4,WATCH,https://autoreelsai.lemonsqueezy.com,@httpsxcoma
propal,Propal,13.30,22.93,39,2,2,WATCH,https://www.propal.io,@dylan_wlms
neume,Neume,9.43,15.54,109,3,2,GO_CANDIDATE,https://www.neume.io,@abh1nash
trade-hunterr,Trade Hunterr,8.21,20.39,69,3,2,GO_CANDIDATE,https://apps.apple.com/us/app/trade-hunterr/id6787424774?uo=4,@
hair-ai,MyHair AI,7.83,6.28,189,4,3,GO_CANDIDATE,https://www.myhair.ai,@
private-enterprise-52,Anonymous startup,7.54,6.01,46,3,2,GO_CANDIDATE,,@
quran-unlock,Quran Unlock,6.54,7.49,275,4,2,GO_CANDIDATE,https://apps.apple.com/app/id6754449406,@iamyacine
reclaim,Reclaim,4.62,3.05,97,2,2,WATCH,https://reclaimnow.app,@pedroluccavb
magnetic-1,Magnetic,3.67,5.36,77,2,2,WATCH,https://apps.apple.com/app/id6761497459,@jack_mitchell01
halo-1,Halo,1.91,1.64,60,2,2,WATCH,https://createhalo.xyz,@
