slug,name,mrr,last30,subs,demand_h,comp_h,verdict,website,x_handle
muxa-ai,Composer.AI,757.10,767.48,5677,5,2,GO_CANDIDATE,https://apps.apple.com/us/app/muxa-ai-music-songmaker/id6503041526?uo=4,@
orion-ai-solutions-inc,Orion AI Solutions Inc.,409.42,688.19,267,4,2,GO_CANDIDATE,https://orionaisolutions.ai,@
goodie-ai,Goodie AI,132.59,138.06,3860,5,3,GO_CANDIDATE,https://apps.apple.com/us/app/goodie-ai-check-groceries/id6741483227?uo=4,@
magicslides-app,MagicSlides.app,115.09,104.78,836,4,2,GO_CANDIDATE,https://www.magicslides.app,@indianappguy
appalchemy,AppAlchemy,61.81,60.10,218,3,2,GO_CANDIDATE,https://appalchemy.ai,@diegoroshardt
uplinked-b-v,UpLinked B.V.,39.73,28.18,61,3,4,KILL_OR_UNBUNDLE,https://www.uplinked.app,@
peoplefinder,Lurq By PeopleFinder,38.04,61.60,160,4,2,GO_CANDIDATE,https://peoplefinder.app,@
publbee,Publbee,34.88,32.78,103,4,2,GO_CANDIDATE,https://www.publbee.com,@nezirbasar1
pawz,Pawz AI: Pet Dance Video Maker,32.26,36.71,59,2,4,WATCH,https://apps.apple.com/us/app/pawz-ai-pet-dance-video-maker/id6758650359?uo=4,@berke_icel
myreader-inc,Myreader  Inc.,28.11,19.26,253,4,4,KILL_OR_UNBUNDLE,https://www.myreader.ai,@prasann_pandya
soarly,Soarly,19.82,18.26,38,2,2,WATCH,https://soarly.ai,@
anonymous-startup-42,Anonymous startup,18.22,12.47,108,3,2,GO_CANDIDATE,,@
vectosolve,VECTOSOLVE,16.41,32.85,233,4,2,GO_CANDIDATE,https://vectosolve.com,@go_to_rob
hidden-business-48,Anonymous startup,14.81,15.27,119,4,2,GO_CANDIDATE,,@
propal,Propal,13.14,20.05,39,2,2,WATCH,https://www.propal.io,@dylan_wlms
autoreels-ai,AutoReels.AI,12.99,9.57,53,2,4,WATCH,https://autoreelsai.lemonsqueezy.com,@httpsxcoma
zylo,Zylo,12.21,30.61,53,2,2,WATCH,https://www.myzylo.app,@
stealth-company-46,Anonymous startup,8.80,19.52,180,4,2,GO_CANDIDATE,,@
private-enterprise-52,Anonymous startup,7.62,6.81,47,3,2,GO_CANDIDATE,,@
quran-unlock,Quran Unlock,6.51,7.59,274,4,2,GO_CANDIDATE,https://apps.apple.com/app/id6754449406,@iamyacine
musicx,AI Music Generator(iOS+macOS)— MusicX,4.51,5.28,23,2,2,WATCH,https://apps.apple.com/us/app/create-music-with-ai-musicx/id6761443704?uo=4,@
nuria,Nuria,4.09,2.72,49,2,2,WATCH,https://nuria.info,@
ai-rewrite,AI Rewrite,1.24,0.54,20,2,2,WATCH,https://apps.apple.com/us/app/ai-rewriter-paraphrase-text/id6470650769?uo=4,@nikolaynankov
