slug,name,mrr,last30,subs,demand_h,comp_h,verdict,website,x_handle
online-edtech,Anonymous startup,1377.15,6128.77,578,5,2,GO_CANDIDATE,,@devneeddev
vidai-llc,Vid.AI,631.59,460.29,842,4,4,KILL_OR_UNBUNDLE,https://vid.ai,@priymrj
white-glove-content,White Glove Content,601.24,583.04,555,5,4,KILL_OR_UNBUNDLE,https://www.whiteglovecontent.com,@
appalchemy,AppAlchemy,64.76,60.59,223,3,2,GO_CANDIDATE,https://appalchemy.ai,@diegoroshardt
ux-magic-inc,UX Magic Inc.,52.83,52.97,166,3,2,GO_CANDIDATE,https://uxmagic.ai,@ronakndaga
zerano-club,Zerano Club,43.21,46.80,31,3,2,GO_CANDIDATE,https://zerano.club,@thezaxteray
peoplefinder,Lurq By PeopleFinder,41.76,66.06,176,4,2,GO_CANDIDATE,https://peoplefinder.app,@
cliptude,Cliptude,41.56,65.36,60,2,2,WATCH,https://cliptude.com,@drrickio
sonora-ai,Sonora AI,39.04,44.48,194,4,2,GO_CANDIDATE,https://apps.apple.com/app/id6633442363,@bahrimelih
uplinked-b-v,UpLinked B.V.,37.38,32.86,58,3,4,KILL_OR_UNBUNDLE,https://www.uplinked.app,@
publbee,Publbee,33.98,32.90,100,4,2,GO_CANDIDATE,https://www.publbee.com,@nezirbasar1
wpconvert-ai,WPConvert.ai - Convert AI sites to WordPress,33.06,53.99,61,2,2,WATCH,https://wpconvert.ai,@_jose_montero_
hidden-business-50,Anonymous startup,28.65,18.06,150,4,2,GO_CANDIDATE,,@
anonymous-startup-42,Anonymous startup,17.53,11.17,105,3,2,GO_CANDIDATE,,@
vectosolve,VECTOSOLVE,17.12,31.96,240,4,2,GO_CANDIDATE,https://vectosolve.com,@go_to_rob
propal,Propal,12.52,23.23,36,2,2,WATCH,https://www.propal.io,@dylan_wlms
neume,Neume,9.43,15.56,109,3,2,GO_CANDIDATE,https://www.neume.io,@abh1nash
cogniguide,CogniGuide,8.36,7.00,79,2,4,WATCH,https://www.cogniguide.app,@
trade-hunterr,Trade Hunterr,7.58,20.71,69,3,2,GO_CANDIDATE,https://apps.apple.com/us/app/trade-hunterr/id6787424774?uo=4,@
one-aminos-llc,One Aminos LLC,0.00,650.97,0,2,2,WATCH,https://oneaminos.com,@
